Date,Time,Max
03/01/2023,11:00:00,81
03/02/2023,01:00:00,83
03/02/2023,03:00:00,83
03/02/2023,05:00:00,83
03/02/2023,07:00:00,84
03/02/2023,09:00:00,86
03/02/2023,11:00:00,86
03/02/2023,01:00:00,86
03/02/2023,03:00:00,86
03/02/2023,05:00:00,86
03/02/2023,07:00:00,86
03/02/2023,09:00:00,87
03/02/2023,11:00:00,86
03/03/2023,01:00:00,88
03/03/2023,03:00:00,94
03/03/2023,05:00:00,87
03/03/2023,07:00:00,88
03/03/2023,09:00:00,90
03/03/2023,11:00:00,90
03/03/2023,01:00:00,90
03/03/2023,03:00:00,91
03/03/2023,05:00:00,90
03/03/2023,07:00:00,92
03/03/2023,09:00:00,91
03/03/2023,11:00:00,90
03/04/2023,01:00:00,91
03/04/2023,03:00:00,92
03/04/2023,05:00:00,91
03/04/2023,07:00:00,92
03/04/2023,09:00:00,94
03/04/2023,11:00:00,93
03/04/2023,01:00:00,93
03/04/2023,03:00:00,94
03/04/2023,05:00:00,95
03/04/2023,07:00:00,96
03/04/2023,09:00:00,96
03/04/2023,11:00:00,95
03/05/2023,01:00:00,96
03/05/2023,03:00:00,95
03/05/2023,05:00:00,96
03/05/2023,07:00:00,97
03/05/2023,09:00:00,97
03/05/2023,11:00:00,98
03/05/2023,01:00:00,94
03/05/2023,03:00:00,96
03/05/2023,05:00:00,97
03/05/2023,07:00:00,96
03/05/2023,09:00:00,97
03/05/2023,11:00:00,97
03/06/2023,01:00:00,97
03/06/2023,03:00:00,96
03/06/2023,05:00:00,97
03/06/2023,07:00:00,98
03/06/2023,09:00:00,98
03/06/2023,11:00:00,98
03/06/2023,01:00:00,98
03/06/2023,03:00:00,98
03/06/2023,05:00:00,98
03/06/2023,07:00:00,97
03/06/2023,09:00:00,99
03/06/2023,11:00:00,93
03/07/2023,01:00:00,93
03/07/2023,03:00:00,92
03/07/2023,05:00:00,47
03/07/2023,07:00:00,57
03/07/2023,09:00:00,59
03/07/2023,11:00:00,60
03/07/2023,01:00:00,62
03/07/2023,03:00:00,61
03/07/2023,05:00:00,61
03/07/2023,07:00:00,61
03/07/2023,09:00:00,61
03/07/2023,11:00:00,62
03/08/2023,01:00:00,61
03/08/2023,03:00:00,58
03/08/2023,05:00:00,58
03/08/2023,07:00:00,59
03/08/2023,09:00:00,59
03/08/2023,11:00:00,60
03/08/2023,01:00:00,60
03/08/2023,03:00:00,60
03/08/2023,05:00:00,59
03/08/2023,07:00:00,60
03/08/2023,09:00:00,60
03/08/2023,11:00:00,60
03/09/2023,01:00:00,61
03/09/2023,03:00:00,64
03/09/2023,05:00:00,64
03/09/2023,07:00:00,65
03/09/2023,09:00:00,67
03/09/2023,11:00:00,67
03/09/2023,01:00:00,66
03/09/2023,03:00:00,66
03/09/2023,05:00:00,68
03/09/2023,07:00:00,66
03/09/2023,09:00:00,65
03/09/2023,11:00:00,65
03/10/2023,01:00:00,65
03/10/2023,03:00:00,68
03/10/2023,05:00:00,64
03/10/2023,07:00:00,65
03/10/2023,09:00:00,65
03/10/2023,11:00:00,65
03/10/2023,01:00:00,65
03/10/2023,03:00:00,65
03/10/2023,05:00:00,65
03/10/2023,07:00:00,65
03/10/2023,09:00:00,65
03/10/2023,11:00:00,66
03/11/2023,01:00:00,66
03/11/2023,03:00:00,64
03/11/2023,05:00:00,64
03/11/2023,07:00:00,64
03/11/2023,09:00:00,65
03/11/2023,11:00:00,65
03/11/2023,01:00:00,65
03/11/2023,03:00:00,64
03/11/2023,05:00:00,64
03/11/2023,07:00:00,65
03/11/2023,09:00:00,64
03/11/2023,11:00:00,65
03/12/2023,01:00:00,66
03/12/2023,03:00:00,64
03/12/2023,05:00:00,68
03/12/2023,07:00:00,64
03/12/2023,09:00:00,64
03/12/2023,11:00:00,64
03/12/2023,01:00:00,64
03/12/2023,03:00:00,65
03/12/2023,05:00:00,64
03/12/2023,07:00:00,65
03/12/2023,09:00:00,64
03/12/2023,11:00:00,65
03/13/2023,01:00:00,65
03/13/2023,03:00:00,64
03/13/2023,05:00:00,64
03/13/2023,07:00:00,65
03/13/2023,09:00:00,67
03/13/2023,11:00:00,65
03/13/2023,01:00:00,65
03/13/2023,03:00:00,65
03/13/2023,05:00:00,65
03/13/2023,07:00:00,65
03/13/2023,09:00:00,64
03/13/2023,11:00:00,65
03/14/2023,01:00:00,66
03/14/2023,03:00:00,64
03/14/2023,05:00:00,64
03/14/2023,07:00:00,64
03/14/2023,09:00:00,64
03/14/2023,11:00:00,65
03/14/2023,01:00:00,66
03/14/2023,03:00:00,65
03/14/2023,05:00:00,65
03/14/2023,07:00:00,65
03/14/2023,09:00:00,65
03/14/2023,11:00:00,66
03/15/2023,01:00:00,66
03/15/2023,03:00:00,64
03/15/2023,05:00:00,65
03/15/2023,07:00:00,65
03/15/2023,09:00:00,65
03/15/2023,11:00:00,65
03/15/2023,01:00:00,65
03/15/2023,03:00:00,65
03/15/2023,05:00:00,68
03/15/2023,07:00:00,65
03/15/2023,09:00:00,65
03/15/2023,11:00:00,65
